| time start | time end | open | high | low | close | volume | yday_time_start | wday_time_start | tday_time_start | yday_time_end | wday_time_end | tday_time_end |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3629.00 | 3740.00 | 3607.24 | 3715.80 | 274889.69 | 0.1749 | 0.2857 | 0.0000 | 0.1749 | 0.2857 | 0.2500 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3710.47 | 3742.00 | 3651.87 | 3731.46 | 152098.93 | 0.1749 | 0.2857 | 0.2500 | 0.1749 | 0.2857 | 0.5000 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3730.80 | 3822.04 | 3556.46 | 3686.51 | 447239.86 | 0.1749 | 0.2857 | 0.5000 | 0.1749 | 0.2857 | 0.7500 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3686.52 | 3686.52 | 3200.00 | 3553.66 | 518982.68 | 0.1749 | 0.2857 | 0.7500 | 0.1776 | 0.4286 | 0.0000 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3561.00 | 3770.63 | 3499.40 | 3769.44 | 255998.91 | 0.1776 | 0.4286 | 0.0000 | 0.1776 | 0.4286 | 0.2500 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3771.55 | 3899.47 | 3740.83 | 3879.74 | 291457.66 | 0.1776 | 0.4286 | 0.2500 | 0.1776 | 0.4286 | 0.5000 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3879.73 | 3900.00 | 3724.00 | 3847.06 | 295921.26 | 0.1776 | 0.4286 | 0.5000 | 0.1776 | 0.4286 | 0.7500 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 126076.49 | 0.1776 | 0.4286 | 0.7500 | 0.1803 | 0.5714 | 0.0000 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137674.85 | 0.1803 | 0.5714 | 0.0000 | 0.1803 | 0.5714 | 0.2500 |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3757.67 | 3814.92 | 3735.00 | 3787.58 | 109057.39 | 0.1803 | 0.5714 | 0.2500 | 0.1803 | 0.5714 | 0.5000 |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3789.40 | 3872.60 | 3765.12 | 3858.61 | 158325.27 | 0.1803 | 0.5714 | 0.5000 | 0.1803 | 0.5714 | 0.7500 |
