| time start | time end | open | high | low | close | volume | robust(64)_1_open | robust(64)_1_high | robust(64)_1_low | robust(64)_1_close |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 2024-03-05 00:00:00 | 2024-03-05 06:00:00 | 3625.60 | 3740.00 | 3607.24 | 3715.80 | 274556.35 | 4.041287 | 3.126256 | 3.035081 | 3.989159 |
| 2024-03-05 06:00:00 | 2024-03-05 12:00:00 | 3710.47 | 3742.00 | 3651.87 | 3731.46 | 152098.93 | 3.939549 | 2.633668 | 3.517386 | 3.207493 |
| 2024-03-05 12:00:00 | 2024-03-05 18:00:00 | 3730.80 | 3822.04 | 3556.46 | 3686.51 | 447472.43 | 3.325991 | 2.441656 | 2.046949 | 1.952255 |
| 2024-03-05 18:00:00 | 2024-03-06 00:00:00 | 3676.01 | 3686.52 | 3200.00 | 3553.66 | 518750.11 | 1.794794 | 1.037852 | -2.904572 | 0.691912 |
| 2024-03-06 00:00:00 | 2024-03-06 06:00:00 | 3561.00 | 3770.63 | 3499.40 | 3769.44 | 255998.91 | 0.947076 | 1.469827 | 1.254338 | 2.298852 |
| 2024-03-06 06:00:00 | 2024-03-06 12:00:00 | 3771.55 | 3899.47 | 3740.83 | 3879.74 | 291457.66 | 2.127815 | 1.696574 | 3.022584 | 1.988193 |
| 2024-03-06 12:00:00 | 2024-03-06 18:00:00 | 3879.73 | 3900.00 | 3724.00 | 3847.06 | 295939.11 | 1.988843 | 1.389522 | 2.244867 | 1.428518 |
| 2024-03-06 18:00:00 | 2024-03-07 00:00:00 | 3836.67 | 3892.58 | 3792.70 | 3818.58 | 125969.90 | 1.453619 | 1.244465 | 2.240905 | 1.117085 |
| 2024-03-07 00:00:00 | 2024-03-07 06:00:00 | 3822.71 | 3852.69 | 3742.51 | 3753.98 | 137763.58 | 1.399164 | 1.107944 | 1.936040 | 0.898922 |
| 2024-03-07 06:00:00 | 2024-03-07 12:00:00 | 3757.67 | 3814.92 | 3735.00 | 3787.58 | 109025.42 | 0.931331 | 0.844025 | 1.290563 | 0.900215 |
| 2024-03-07 12:00:00 | 2024-03-07 18:00:00 | 3787.41 | 3872.60 | 3765.12 | 3858.61 | 158324.09 | 0.966060 | 0.899620 | 1.184895 | 1.052051 |
| 2024-03-07 18:00:00 | 2024-03-08 00:00:00 | 3861.92 | 3933.81 | 3840.00 | 3868.76 | 135778.12 | 1.052113 | 0.936646 | 1.156101 | 0.934119 |
| 2024-03-08 00:00:00 | 2024-03-08 06:00:00 | 3872.96 | 3940.60 | 3863.56 | 3888.07 | 99424.36 | 1.084784 | 0.954897 | 1.227597 | 0.989600 |
| 2024-03-08 06:00:00 | 2024-03-08 12:00:00 | 3889.34 | 3954.98 | 3883.59 | 3950.46 | 122353.92 | 0.962876 | 0.779856 | 1.238041 | 1.083590 |
| 2024-03-08 12:00:00 | 2024-03-08 18:00:00 | 3949.30 | 3993.75 | 3820.00 | 3942.38 | 303472.71 | 1.084426 | 0.834856 | 1.033606 | 0.978675 |
| 2024-03-08 18:00:00 | 2024-03-09 00:00:00 | 3936.90 | 3950.85 | 3871.28 | 3883.37 | 121043.11 | 0.940267 | 0.600996 | 1.093926 | 0.600526 |
| 2024-03-09 00:00:00 | 2024-03-09 06:00:00 | 3886.04 | 3931.39 | 3877.50 | 3918.40 | 58708.04 | 0.813047 | 0.556750 | 1.112223 | 0.682821 |
| 2024-03-09 06:00:00 | 2024-03-09 12:00:00 | 3917.51 | 3942.00 | 3887.99 | 3912.50 | 68544.38 | 0.705540 | 0.452195 | 0.987947 | 0.516891 |
| 2024-03-09 12:00:00 | 2024-03-09 18:00:00 | 3910.05 | 3927.05 | 3870.01 | 3883.07 | 78709.83 | 0.647965 | 0.418232 | 0.872020 | 0.439378 |
| 2024-03-09 18:00:00 | 2024-03-10 00:00:00 | 3881.98 | 3912.68 | 3878.02 | 3905.20 | 48925.99 | 0.457833 | 0.377077 | 0.772832 | 0.424359 |
| 2024-03-10 00:00:00 | 2024-03-10 06:00:00 | 3908.92 | 3950.00 | 3899.51 | 3938.83 | 76295.64 | 0.517716 | 0.459526 | 0.824481 | 0.499709 |
| 2024-03-10 06:00:00 | 2024-03-10 12:00:00 | 3939.71 | 3964.67 | 3920.02 | 3932.72 | 74717.07 | 0.502004 | 0.415494 | 0.717254 | 0.447592 |
| 2024-03-10 12:00:00 | 2024-03-10 18:00:00 | 3932.12 | 3947.18 | 3860.65 | 3912.03 | 115981.28 | 0.483003 | 0.374563 | 0.554835 | 0.401311 |
| 2024-03-10 18:00:00 | 2024-03-11 00:00:00 | 3913.41 | 3918.00 | 3791.26 | 3878.47 | 90579.04 | 0.402641 | 0.230630 | 0.308692 | 0.294567 |
| 2024-03-11 00:00:00 | 2024-03-11 06:00:00 | 3878.79 | 3888.38 | 3722.95 | 3847.98 | 129359.74 | 0.329254 | 0.165970 | 0.164957 | 0.222580 |
| 2024-03-11 06:00:00 | 2024-03-11 12:00:00 | 3849.80 | 4054.60 | 3834.22 | 4034.25 | 299991.72 | 0.204975 | 0.520327 | 0.258227 | 0.626591 |
| 2024-03-11 12:00:00 | 2024-03-11 18:00:00 | 4030.00 | 4065.80 | 3998.92 | 4038.66 | 187879.02 | 0.600468 | 0.542448 | 0.611162 | 0.630019 |
| 2024-03-11 18:00:00 | 2024-03-12 00:00:00 | 4036.60 | 4086.23 | 4027.92 | 4064.80 | 103328.23 | 0.618409 | 0.520365 | 0.670357 | 0.630418 |
| 2024-03-12 00:00:00 | 2024-03-12 06:00:00 | 4072.04 | 4093.92 | 4021.19 | 4040.01 | 107326.31 | 0.701096 | 0.537500 | 0.655513 | 0.574044 |
| 2024-03-12 06:00:00 | 2024-03-12 12:00:00 | 4038.48 | 4065.00 | 3965.00 | 4020.84 | 120901.59 | 0.560199 | 0.427365 | 0.500196 | 0.452919 |
| 2024-03-12 12:00:00 | 2024-03-12 18:00:00 | 4020.34 | 4053.80 | 3828.98 | 3950.56 | 271977.45 | 0.518417 | 0.397909 | 0.204384 | 0.295231 |
| 2024-03-12 18:00:00 | 2024-03-13 00:00:00 | 3958.77 | 3991.00 | 3927.18 | 3979.97 | 132684.34 | 0.302766 | 0.243730 | 0.416424 | 0.308662 |
| 2024-03-13 00:00:00 | 2024-03-13 06:00:00 | 3984.15 | 4045.86 | 3973.53 | 4037.04 | 87242.81 | 0.359242 | 0.374027 | 0.520000 | 0.441198 |
| 2024-03-13 06:00:00 | 2024-03-13 12:00:00 | 4038.18 | 4083.00 | 4033.60 | 4048.91 | 119239.99 | 0.444354 | 0.451350 | 0.641563 | 0.451609 |
| 2024-03-13 12:00:00 | 2024-03-13 18:00:00 | 4048.90 | 4053.00 | 3932.23 | 3981.01 | 191488.72 | 0.453386 | 0.376555 | 0.417665 | 0.294947 |
| 2024-03-13 18:00:00 | 2024-03-14 00:00:00 | 3981.40 | 4021.00 | 3973.51 | 4004.79 | 84339.69 | 0.292392 | 0.288993 | 0.488501 | 0.335691 |
| 2024-03-14 00:00:00 | 2024-03-14 06:00:00 | 4005.79 | 4010.98 | 3940.64 | 3969.16 | 94284.80 | 0.346583 | 0.265165 | 0.411448 | 0.253869 |
